2015 rank,City,State,2015 estimate,2014 land area(sq mi),2014 land area(km2),latitude,longitude
264,Centennial,Colorado,"109,741",28.7,74.4,39.5906,104.8691
265,Ventura,California,"109,708",21.7,56.1,34.2681,119.255
266,Richmond,California,"109,708",30.1,77.9,37.953,122.3594
267,Pueblo,Colorado,"109,412",53.6,138.9,38.2731,104.6124
268,Pearland,Texas,"108,821",47.5,122.9,29.5544,95.2958
269,Waterbury,Connecticut,"108,802",28.5,73.9,41.5585,73.0367
270,West Covina,California,"108,484",16,41.5,34.0559,117.9099
271,North Charleston,South Carolina,"108,304",76.6,119.5,32.8853,80.0169
272,Everett,Washington,"108,010",33.4,86.6,48.0033,122.1742
273,College Station,Texas,"107,889",49.6,128.5,30.6013,96.3144
274,Palm Bay,Florida,"107,888",65.7,170.2,27.9856,80.6626
275,Pompano Beach,Florida,"107,762",24,62.2,26.2426,80.129
276,Boulder,Colorado,"107,349",25.7,66.5,40.0175,105.2797
277,Norwalk,California,"107,140",9.7,25.1,33.9069,118.0834
278,West Palm Beach,Florida,"106,779",55.3,143.2,26.7483,80.1266
279,Broken Arrow,Oklahoma,"106,563",61.6,159.5,36.0365,95.781
280,Daly City,California,"106,562",7.7,19.8,37.7009,122.465
281,Sandy Springs,Georgia,"105,330",39,101,33.5615,84.227
282,Burbank,California,"105,319",17.3,44.9,34.189,118.3249
283,Green Bay,Wisconsin,"105,207",45.5,117.8,44.5207,87.9842
284,Santa Maria,California,"105,093",22.8,58.9,34.9332,120.4438
285,Wichita Falls,Texas,"104,710",72.1,186.8,33.9067,98.5259
286,Lakeland,Florida,"104,401",74.4,193,28.0411,81.9589
287,Clovis,California,"104,180",23.3,60.3,36.4931,119.4211
288,Lewisville,Texas,"104,039",42.5,110,33.0383,97.0061
289,Tyler,Texas,"103,700",54.4,140.8,32.35,95.3
290,El Cajon,California,"103,679",14.4,37.4,32.8017,116.9605
291,San Mateo,California,"103,536",15.9,41.1,37.5542,122.3131
292,Rialto,California,"103,132",22.4,57.9,34.1118,117.3883
293,Edison,New Jersey,"102,701",30.6,79.4,40.504,74.3494
294,Davenport,Iowa,"102,582",62.9,163,41.5541,90.604
295,Hillsboro,Oregon,"102,347",24.3,62.8,45.5167,122.9833
296,Woodbridge,New Jersey,"102,105",24.5,63.5,40.5608,74.2926
297,Las Cruces,New Mexico,"101,643",76.3,197.6,32.3197,106.7653
298,South Bend,Indiana,"101,516",41.5,107.4,41.6769,86.269
299,Vista,California,"100,890",18.7,48.4,33.1936,117.2411
300,Greeley,Colorado,"100,883",30,77.7,40.4167,104.7167
301,Davie,Florida,"100,882",35.7,92.5,26.0814,80.2803
302,San Angelo,Texas,"100,450",58.2,150.9,31.45,100.45
303,Jurupa Valley,California,"100,314",43.5,112.7,33.0011,117.4706
304,Renton,Washington,"100,242",23.5,61,47.4867,122.1953
